Station,Year,Month,T.max
Dhaka (11111),1965,12,25.75
Dhaka (11111),1966,1,25.33
Dhaka (11111),1966,2,28.23
Dhaka (11111),1966,3,32.59
Dhaka (11111),1966,4,35.91
Dhaka (11111),1966,5,34.47
Dhaka (11111),1966,6,31.01
Dhaka (11111),1966,7,31.43
Dhaka (11111),1966,8,30.83
Dhaka (11111),1966,9,30.84
Dhaka (11111),1966,10,30.06
Dhaka (11111),1966,11,28.94
Dhaka (11111),1966,12,25.07
Dhaka (11111),1967,1,25.24
Dhaka (11111),1967,2,29.3
Dhaka (11111),1967,3,30.15
Dhaka (11111),1967,4,33.75
Dhaka (11111),1967,5,33.13
Dhaka (11111),1967,6,32.36
Dhaka (11111),1967,7,31.41
Dhaka (11111),1967,8,31
Dhaka (11111),1967,9,30.36
Dhaka (11111),1967,10,30.73
Dhaka (11111),1967,11,28.32
Dhaka (11111),1967,12,26.45
Dhaka (11111),1968,1,24.94
Dhaka (11111),1968,2,27.52
Dhaka (11111),1968,3,33.12
Dhaka (11111),1968,4,33.39
Dhaka (11111),1968,5,33.65
Dhaka (11111),1968,6,30.21
Dhaka (11111),1968,7,30.67
Dhaka (11111),1968,8,31.14
Dhaka (11111),1968,9,32.2
Dhaka (11111),1968,10,30.56
Dhaka (11111),1968,11,28.74
Dhaka (11111),1968,12,25.57
Dhaka (11111),1969,1,25.08
Dhaka (11111),1969,2,29.17
Dhaka (11111),1969,3,32.68
Dhaka (11111),1969,4,33.99
Dhaka (11111),1969,5,33.9
Dhaka (11111),1969,6,31.4
Dhaka (11111),1969,7,31.02
Dhaka (11111),1969,8,30.15
Dhaka (11111),1969,9,31.61
Dhaka (11111),1969,10,30.88
Dhaka (11111),1969,11,29.11
Dhaka (11111),1969,12,26.08
Dhaka (11111),1970,1,24.72
Dhaka (11111),1970,2,28.65
Dhaka (11111),1970,3,32.32
Dhaka (11111),1970,4,34.02
Dhaka (11111),1970,5,34.25
Dhaka (11111),1970,6,31.81
Dhaka (11111),1970,7,30.94
Dhaka (11111),1970,8,30.9
Dhaka (11111),1970,9,31.22
Dhaka (11111),1970,10,29.75
Dhaka (11111),1970,11,27.82
