Station,Year,Month,T.max
Dhaka (11111),2017,6,33.04
Dhaka (11111),2017,7,31.98
Dhaka (11111),2017,8,32.59
Dhaka (11111),2017,9,33.08
Dhaka (11111),2017,10,31.99
Dhaka (11111),2017,11,30.19
Dhaka (11111),2017,12,26.76
Dhaka (11111),2018,1,23.6
Dhaka (11111),2018,2,29.22
Dhaka (11111),2018,3,33.32
Dhaka (11111),2018,4,33.03
Dhaka (11111),2018,5,32.33
Dhaka (11111),2018,6,33.54
Dhaka (11111),2018,7,32.79
Dhaka (11111),2018,8,33.8
Dhaka (11111),2018,9,34.13
Dhaka (11111),2018,10,31.99
Dhaka (11111),2018,11,30.29
Dhaka (11111),2018,12,26.14
Dhaka (11111),2019,1,27.17
Dhaka (11111),2019,2,28.35
Dhaka (11111),2019,3,31.51
Dhaka (11111),2019,4,33.68
Dhaka (11111),2019,5,34.59
Dhaka (11111),2019,6,33.58
Dhaka (11111),2019,7,32.97
Dhaka (11111),2019,8,33.75
Dhaka (11111),2019,9,33.34
Dhaka (11111),2019,10,32.06
Dhaka (11111),2019,11,30.32
Dhaka (11111),2019,12,24.76
Dhaka (11111),2020,1,24.02
Dhaka (11111),2020,2,27.45
Dhaka (11111),2020,3,32.29
Dhaka (11111),2020,4,33.83
Dhaka (11111),2020,5,33.39
Dhaka (11111),2020,6,33.38
Dhaka (11111),2020,7,33.02
Dhaka (11111),2020,8,32.94
Dhaka (11111),2020,9,33.54
Dhaka (11111),2020,10,33.16
Dhaka (11111),2020,11,30.77
Dhaka (11111),2020,12,25.97
Dhaka (11111),2021,1,25.58
Dhaka (11111),2021,2,29.53
Dhaka (11111),2021,3,34.47
Dhaka (11111),2021,4,36.13
Dhaka (11111),2021,5,34.97
Dhaka (11111),2021,6,32.5
Dhaka (11111),2021,7,32.84
Dhaka (11111),2021,8,33.23
Dhaka (11111),2021,9,33.89
Dhaka (11111),2021,10,33.53
Dhaka (11111),2021,11,30
Dhaka (11111),2021,12,26.51
Dhaka (11111),2022,1,25.15
Dhaka (11111),2022,2,27.15
Dhaka (11111),2022,3,33.92
Dhaka (11111),2022,4,34.1
Dhaka (11111),2022,5,33.5
Dhaka (11111),2022,6,33.37
Dhaka (11111),2022,7,34.27
Dhaka (11111),2022,8,34.21
Dhaka (11111),2022,9,33.21
Dhaka (11111),2022,10,32.72
Dhaka (11111),2022,11,31.04
Dhaka (11111),2022,12,27.41
Dhaka (11111),2023,1,25.08
Dhaka (11111),2023,2,29.32
Dhaka (11111),2023,3,32.35
Dhaka (11111),2023,4,36.36
Dhaka (11111),2023,5,35.44
Dhaka (11111),2023,6,34.2
Dhaka (11111),2023,7,34.41
Dhaka (11111),2023,8,32.73
Dhaka (11111),2023,9,34.03
Dhaka (11111),2023,10,32.81
Dhaka (11111),2023,11,30.92
Dhaka (11111),2023,12,26.74
Dhaka (11111),2024,1,22.22
Dhaka (11111),2024,2,26.1
Dhaka (11111),2024,3,30
Dhaka (11111),2024,4,36.1
Dhaka (11111),2024,5,32.8
Dhaka (11111),2024,6,32.2
Dhaka (11111),2024,7,32.2
Dhaka (11111),2024,8,31.1
Dhaka (11111),2024,9,32.2
Dhaka (11111),2024,10,31.1
Dhaka (11111),2024,11,30
Dhaka (11111),2024,12,26.1
